cust_ucv_id,last_trns_dt,b3_br_flag,b3_ea_flag,b3_od_flag,cashi_flag,sm_br_flag,sm_od_flag,w2_br_flag,w2_ea_flag,w2_od_flag,cust_clasif,vertical_depth,banner_depth,banner_path,SRC_BC_node1,TGT_BC_node1,SRC_BC_node1_dt,SRC_BC_node2,TGT_BC_node2,SRC_BC_node2_dt,SRC_BC_node3,TGT_BC_node3,SRC_BC_node3_dt,SRC_BC_node4,TGT_BC_node4,SRC_BC_node4_dt,SRC_BC_node5,TGT_BC_node5,SRC_BC_node5_dt,SRC_BC_node6,TGT_BC_node6,SRC_BC_node6_dt,SRC_BC_node7,TGT_BC_node7,SRC_BC_node7_dt,SRC_BC_node8,TGT_BC_node8,SRC_BC_node8_dt,SRC_BC_node9,TGT_BC_node9,SRC_BC_node9_dt,bc_combination
-1000015881911691770,2025-07-03,1,0,0,0,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,B3 > W2,B3 BRICK,W2 BRICK,2024-12-31,W2 BRICK,STAYED,2025-02-02,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK"
-1000015907789608378,2025-04-05,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2025-04-05,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000016109896074042,2025-08-05,1,0,0,0,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,W2 > B3,W2 BRICK,B3 BRICK,2024-11-10,B3 BRICK,STAYED,2024-11-21,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK"
-1000016139334059322,2024-11-26,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-11-26,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000016244900317754,2025-08-11,1,0,0,0,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,B3 > W2,B3 BRICK,W2 BRICK,2024-06-14,W2 BRICK,STAYED,2024-09-21,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK"
-1000016270231176890,2024-10-05,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-10-05,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-100001633970911228,2025-08-06,1,0,0,0,0,0,1,0,1,MULTI BANNER/VERTICAL,3,2,W2 > B3,W2 OD,W2 BRICK,2022-11-30,W2 BRICK,B3 BRICK,2024-06-23,B3 BRICK,STAYED,2024-09-01,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK, W2 OD"
-100001641935862842,2025-06-09,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2025-02-01,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000016969281402298,2025-07-31,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-08-23,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000016981423319994,2024-12-31,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
